method,path,controller,action
GET,/list-card-activation-requests,admin.'/Card_activation_requests/view_card_activation_requests',index
GET,/list_card_activation_requests_ajax,admin.'/Card_activation_requests/list_card_activation_requests_ajax',index
GET,/submit_card_activation_requests,admin.'/Card_activation_requests/submit_card_activation_requests',index
GET,/edit_card_activation_requests,admin.'/Card_activation_requests/edit_card_activation_requests',index
GET,/delete_card_activation_requests,admin.'/Card_activation_requests/delete_card_activation_requests',index
GET,/images_card_activation_requests,admin.'/Card_activation_requests/images_card_activation_requests',index
GET,/list-investors,admin.'/Investors/view_investors',index
GET,/list_investors_ajax,admin.'/Investors/list_investors_ajax',index
GET,/submit_investors,admin.'/Investors/submit_investors',index
GET,/edit_investors,admin.'/Investors/edit_investors',index
GET,/delete_investors,admin.'/Investors/delete_investors',index
GET,/view_investors_details,admin.'/Investors/view_investors_details',index
GET,/list-jobs,admin.'/Jobs/view_jobs',index
GET,/list_jobs_ajax,admin.'/Jobs/list_jobs_ajax',index
GET,/submit_jobs,admin.'/Jobs/submit_jobs',index
GET,/edit_jobs,admin.'/Jobs/edit_jobs',index
GET,/delete_jobs,admin.'/Jobs/delete_jobs',index
GET,/view_jobs_details,admin.'/Jobs/view_jobs_details',index
GET,/list-events,admin.'/Events/view_events',index
GET,/list_events_ajax,admin.'/Events/list_events_ajax',index
GET,/submit_events,admin.'/Events/submit_events',index
GET,/edit_events,admin.'/Events/edit_events',index
GET,/delete_events,admin.'/Events/delete_events',index
GET,/view_events_details,admin.'/Events/view_events_details',index
GET,/legal-terms,front.'/Home/legal_terms',index
GET,/delete-request,front.'/Home/delete_request',index
GET,/thank-you,front.'/Home/thank_you',index
GET,/export-report,admin.'/Export/export_report',index
GET,/Api-Login,api.'/login',index
GET,/Api-Logout,api.'/logout',index
GET,/Api-Country-List,api.'/getCountryList',index
GET,/Api-State-List,api.'/getStateList',index
GET,/Api-City-List,api.'/getCityList',index
GET,/Api-Interests-List,api.'/getInterestsList',index
